,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
    Margin of Error,±157,±96,±85,±74,±12,±46,±12,±12,±12,±173,±106,±98,±12
Census Tract 4304; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,322",249,78,78,0,213,30,0,27,860,612,393,89
    Margin of Error,±193,±129,±81,±81,±12,±97,±47,±12,±43,±195,±160,±169,±59
Census Tract 4305; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,059",216,25,10,0,35,0,0,0,"1,808",819,512,150
    Margin of Error,±256,±164,±28,±16,±12,±54,±12,±12,±12,±235,±246,±197,±127
Census Tract 4306; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,807,177,32,12,0,50,14,0,0,580,297,144,18
    Margin of Error,±169,±114,±23,±14,±12,±32,±21,±12,±12,±123,±93,±59,±26
Census Tract 4307; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,320",189,189,22,0,43,7,0,0,"1,088",707,509,31
    Margin of Error,±224,±98,±98,±36,±12,±48,±12,±12,±12,±259,±296,±257,±60
Census Tract 4308; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,803,338,168,140,39,90,18,0,0,375,170,114,58
    Margin of Error,±103,±92,±86,±81,±61,±48,±28,±12,±12,±98,±86,±77,±54
Census Tract 4309; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,854,241,123,109,0,115,0,0,0,498,286,216,32
    Margin of Error,±165,±97,±80,±76,±12,±65,±12,±12,±12,±187,±134,±106,±48
Census Tract 4312; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,281",512,177,71,19,380,60,13,10,389,158,124,60
    Margin of Error,±188,±138,±131,±68,±31,±111,±52,±22,±19,±175,±103,±91,±59
Census Tract 4313.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,451",82,31,10,0,53,0,0,0,"1,316",849,474,71
    Margin of Error,±220,±63,±36,±21,±12,±54,±12,±12,±12,±231,±224,±172,±91
Census Tract 4313.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,725",107,0,0,0,16,0,0,16,"1,602",889,474,70
    Margin of Error,±197,±72,±12,±12,±12,±26,±12,±12,±26,±192,±302,±263,±122
Census Tract 4314; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,288",267,174,16,0,365,25,0,48,"2,656","1,291",801,144
    Margin of Error,±290,±140,±121,±23,±17,±139,±42,±17,±79,±336,±310,±245,±122
Census Tract 4401.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,463",43,43,0,0,24,0,0,9,"2,396","1,487",903,133
    Margin of Error,±321,±38,±38,±12,±12,±31,±12,±12,±14,±327,±359,±285,±110
Census Tract 4401.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,973",302,143,91,27,146,28,0,0,"1,525",795,490,26
    Margin of Error,±285,±146,±95,±69,±41,±73,±43,±12,±12,±234,±168,±157,±40
Census Tract 4402.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,351",187,22,0,0,430,56,56,0,"1,734",901,555,200
    Margin of Error,±388,±153,±35,±17,±17,±184,±99,±99,±17,±355,±336,±319,±169
Census Tract 4402.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,618",249,152,90,0,288,53,34,0,"1,081",604,344,97
    Margin of Error,±181,±93,±87,±67,±12,±117,±41,±37,±12,±197,±203,±150,±73
Census Tract 4403; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,150",895,335,151,15,509,0,0,66,746,457,239,8
    Margin of Error,±275,±336,±186,±137,±26,±188,±12,±12,±98,±206,±194,±167,±14
Census Tract 4406; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,703,337,102,53,0,189,51,36,7,177,150,88,17
    Margin of Error,±86,±95,±53,±43,±12,±74,±44,±40,±11,±114,±113,±99,±16
Census Tract 4407; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,557,314,67,27,0,79,19,9,0,164,71,40,23
    Margin of Error,±184,±177,±44,±23,±12,±35,±15,±10,±12,±72,±52,±41,±22
Census Tract 4408; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,708,77,36,16,0,111,12,0,0,520,326,323,24
    Margin of Error,±103,±41,±28,±17,±12,±50,±18,±12,±12,±111,±85,±85,±38
Census Tract 4409; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,017",287,47,20,0,343,105,92,25,387,126,22,168
    Margin of Error,±185,±111,±39,±23,±12,±148,±102,±100,±40,±148,±99,±34,±105
Census Tract 4503; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,490",574,203,155,0,325,81,10,10,591,245,205,53
    Margin of Error,±227,±182,±161,±151,±12,±129,±60,±14,±15,±164,±122,±113,±56
Census Tract 4601; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,977,107,41,41,0,256,41,41,0,614,296,234,0
    Margin of Error,±136,±85,±51,±51,±12,±102,±44,±44,±12,±128,±109,±87,±12
Census Tract 4602; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,925,205,114,102,0,157,10,0,0,563,313,214,68
    Margin of Error,±205,±149,±140,±139,±12,±77,±17,±12,±12,±176,±158,±144,±51
Census Tract 4603.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,258",354,123,97,0,368,164,87,0,536,331,132,0
    Margin of Error,±187,±134,±82,±75,±12,±138,±118,±75,±12,±186,±168,±90,±12
Census Tract 4603.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,286",374,47,38,0,224,16,0,66,688,395,124,58
    Margin of Error,±247,±231,±41,±37,±12,±122,±26,±12,±93,±160,±164,±103,±73
Census Tract 4604; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,333",498,177,69,0,199,0,0,11,636,369,285,30
    Margin of Error,±211,±128,±105,±58,±12,±89,±12,±12,±18,±214,±226,±185,±41
Census Tract 4605; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,739",757,307,201,13,766,117,104,19,"1,216",430,198,112
    Margin of Error,±354,±250,±150,±120,±21,±312,±120,±118,±30,±356,±251,±179,±138
Census Tract 4608; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,370",56,15,13,0,149,34,0,27,"1,165",598,387,99
    Margin of Error,±197,±62,±22,±25,±12,±99,±44,±12,±47,±235,±201,±161,±108
Census Tract 4610; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,741,0,0,0,0,70,21,7,0,671,293,123,52
    Margin of Error,±72,±12,±12,±12,±12,±37,±19,±11,±12,±78,±92,±52,±27
Census Tract 4701; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,932,332,67,36,0,190,33,16,13,410,139,30,33
    Margin of Error,±231,±152,±58,±44,±12,±86,±37,±25,±20,±199,±98,±48,±38
Census Tract 4801; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,915,479,137,69,0,187,45,25,0,249,108,79,27
    Margin of Error,±88,±72,±56,±44,±12,±70,±31,±26,±12,±81,±68,±64,±34
Census Tract 4802; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,600,92,32,19,0,155,6,3,0,353,171,158,22
    Margin of Error,±128,±39,±18,±17,±12,±113,±9,±6,±12,±94,±93,±91,±23
Census Tract 4803; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,488,104,19,11,0,173,48,43,0,211,87,85,43
    Margin of Error,±92,±53,±22,±17,±12,±62,±46,±45,±12,±82,±46,±46,±42
Census Tract 4804; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,357","1,244",441,221,0,695,79,61,32,418,190,71,0
    Margin of Error,±366,±220,±196,±144,±12,±393,±80,±73,±56,±172,±110,±72,±12
Census Tract 4805; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,161",381,149,95,0,385,97,66,0,395,200,119,0
    Margin of Error,±214,±85,±79,±68,±12,±222,±80,±69,±12,±135,±86,±72,±12
Census Tract 4902; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,391",514,180,102,9,415,86,77,0,462,212,136,22
    Margin of Error,±217,±130,±70,±61,±14,±147,±74,±73,±12,±193,±102,±83,±25
Census Tract 4905; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,727,368,100,56,0,169,5,0,10,190,98,73,63
    Margin of Error,±93,±102,±62,±35,±12,±87,±7,±12,±15,±101,±65,±59,±67
Census Tract 4906; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,521,198,93,17,0,178,46,26,0,145,69,62,27
    Margin of Error,±118,±116,±107,±21,±12,±44,±26,±24,±12,±59,±43,±40,±30
Census Tract 4907; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,866,432,180,109,42,264,30,0,0,170,118,92,24
    Margin of Error,±137,±145,±68,±59,±58,±86,±37,±12,±12,±76,±63,±57,±30
Census Tract 4908; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,202",317,151,78,0,415,59,34,9,470,185,109,23
    Margin of Error,±123,±128,±109,±81,±12,±110,±49,±39,±15,±124,±139,±99,±22
Census Tract 4909.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,227",181,78,29,12,237,48,0,86,809,438,354,123
    Margin of Error,±181,±86,±72,±46,±18,±112,±55,±12,±93,±151,±143,±138,±92
Census Tract 4909.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,845",729,133,106,0,420,58,44,34,696,381,271,45
    Margin of Error,±242,±223,±110,±98,±12,±107,±54,±51,±39,±181,±164,±152,±56
Census Tract 4910; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,185",238,121,54,0,304,14,0,0,643,434,375,131
    Margin of Error,±210,±115,±94,±48,±12,±124,±21,±12,±12,±214,±182,±171,±107
Census Tract 4911; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,356",686,158,109,0,332,64,27,0,338,74,74,16
    Margin of Error,±150,±174,±75,±72,±12,±126,±52,±29,±12,±130,±86,±86,±19
Census Tract 4912; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,620,240,106,68,0,216,33,13,0,164,58,50,41
    Margin of Error,±117,±94,±60,±47,±12,±89,±34,±16,±12,±82,±51,±50,±37
Census Tract 4913; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,652,132,76,36,0,186,39,39,7,334,226,184,22
    Margin of Error,±117,±67,±51,±34,±12,±74,±40,±40,±10,±104,±96,±91,±23
Census Tract 4914; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,075",61,40,40,0,150,7,0,0,864,359,200,146
    Margin of Error,±197,±48,±41,±41,±12,±121,±13,±12,±12,±235,±174,±159,±114
Census Tract 5001; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,497",524,78,62,0,241,0,0,0,732,310,213,18
    Margin of Error,±352,±329,±54,±48,±12,±79,±12,±12,±12,±172,±133,±114,±27
Census Tract 5002; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,798,138,8,8,0,175,0,0,35,485,337,144,9
    Margin of Error,±129,±81,±15,±15,±12,±86,±12,±12,±33,±105,±105,±63,±13
Census Tract 5003; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,925,315,111,41,14,189,52,7,0,421,249,187,0
    Margin of Error,±120,±95,±64,±54,±17,±111,±69,±12,±12,±87,±75,±70,±12
Census Tract 5101; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,259",258,54,54,0,494,126,88,0,507,252,175,0
    Margin of Error,±300,±113,±54,±54,±12,±202,±132,±117,±12,±291,±277,±267,±12
Census Tract 5102; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,217",512,140,113,26,267,44,9,0,438,269,202,56
    Margin of Error,±249,±224,±169,±167,±29,±115,±54,±14,±12,±183,±160,±163,±68
Census Tract 5103; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,939",438,67,32,0,379,90,75,0,"1,122",791,615,0
    Margin of Error,±246,±157,±60,±39,±12,±158,±72,±69,±12,±287,±284,±262,±12
Census Tract 5201; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,495,31,5,0,0,213,40,14,0,251,85,56,0
    Margin of Error,±79,±27,±13,±12,±12,±65,±32,±15,±12,±75,±54,±52,±12
Census Tract 5202; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,113",299,103,61,14,228,47,28,0,586,278,185,26
    Margin of Error,±201,±135,±90,±74,±22,±133,±29,±24,±12,±157,±130,±101,±35
Census Tract 5203; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,017",672,300,76,0,647,70,50,0,698,323,200,118
    Margin of Error,±261,±169,±142,±57,±17,±192,±64,±54,±17,±239,±141,±115,±109
Census Tract 5204; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,434",812,272,144,11,289,42,14,0,333,97,97,79
    Margin of Error,±383,±394,±143,±104,±20,±93,±39,±21,±12,±124,±84,±84,±53
Census Tract 5205; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,545",630,118,60,0,534,64,19,42,381,115,40,91
    Margin of Error,±132,±120,±72,±48,±17,±128,±68,±23,±59,±162,±92,±60,±85
Census Tract 5206; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,805,387,125,40,0,279,40,22,0,139,59,33,5
    Margin of Error,±116,±138,±71,±30,±12,±88,±30,±21,±12,±73,±54,±39,±7
Census Tract 5301; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,825,89,33,24,0,211,145,135,0,525,172,54,114
    Margin of Error,±163,±51,±28,±24,±12,±60,±68,±68,±12,±160,±112,±60,±98
Census Tract 5302; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,421",329,155,97,0,305,22,15,0,787,473,399,85
    Margin of Error,±176,±111,±100,±81,±12,±137,±23,±20,±12,±168,±144,±138,±85
Census Tract 5303; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,590",558,262,165,0,367,24,4,0,665,296,96,49
    Margin of Error,±175,±198,±134,±119,±12,±114,±21,±5,±12,±224,±161,±66,±54
Census Tract 5304; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,815,395,88,14,0,248,54,7,6,172,100,66,30
    Margin of Error,±131,±132,±45,±16,±12,±53,±39,±11,±9,±68,±53,±41,±47
Census Tract 5305.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,812",617,136,42,0,307,62,43,0,888,548,482,163
    Margin of Error,±362,±304,±107,±40,±17,±133,±45,±39,±17,±264,±164,±164,±238
Census Tract 5305.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,575,353,102,80,0,177,46,15,29,45,39,11,6
    Margin of Error,±121,±135,±56,±44,±12,±62,±31,±15,±34,±25,±22,±19,±10
Census Tract 5305.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,482",804,321,207,0,343,82,53,13,335,180,128,52
    Margin of Error,±130,±177,±129,±106,±12,±122,±64,±48,±20,±125,±77,±71,±46
Census Tract 5306; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,948,264,134,13,0,183,12,0,10,501,257,173,92
    Margin of Error,±149,±110,±103,±22,±12,±81,±20,±12,±16,±158,±131,±103,±99
Census Tract 5401.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,566",68,26,26,0,36,19,0,0,"1,462",580,320,401
    Margin of Error,±218,±45,±30,±30,±12,±35,±23,±12,±12,±219,±169,±145,±159
Census Tract 5401.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,285",99,69,27,0,89,0,0,0,"1,097",435,260,152
    Margin of Error,±165,±76,±76,±40,±12,±59,±12,±12,±12,±158,±140,±129,±90
Census Tract 5501; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,698",920,301,165,0,552,133,56,0,"1,226",502,449,307
    Margin of Error,±403,±236,±128,±116,±17,±182,±99,±60,±17,±402,±203,±194,±342
Census Tract 5502; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,972,456,95,38,0,413,48,0,11,103,16,16,0
    Margin of Error,±170,±135,±48,±27,±12,±110,±63,±12,±19,±74,±27,±27,±12
Census Tract 5601; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,315,141,41,7,0,116,23,17,0,58,40,7,18
    Margin of Error,±84,±54,±39,±8,±12,±49,±26,±24,±12,±59,±41,±9,±31
Census Tract 5602; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,519,246,137,35,0,214,41,0,0,59,27,9,0
    Margin of Error,±64,±70,±62,±27,±12,±62,±31,±12,±12,±42,±26,±14,±12
Census Tract 5603; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,077",495,105,52,0,455,159,113,0,127,54,39,0
    Margin of Error,±117,±119,±58,±45,±12,±109,±82,±87,±12,±58,±48,±38,±12
Census Tract 5604; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,475,169,80,50,0,278,25,13,0,28,28,28,0
    Margin of Error,±70,±64,±57,±44,±12,±86,±30,±21,±12,±42,±42,±42,±12
Census Tract 5607; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,319",484,214,20,0,349,43,0,0,486,135,105,88
    Margin of Error,±145,±132,±111,±24,±12,±103,±44,±12,±12,±160,±99,±90,±97
Census Tract 5608; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,947",988,193,12,0,571,151,11,0,388,84,33,0
    Margin of Error,±220,±247,±114,±21,±17,±178,±106,±19,±17,±157,±69,±43,±17
Census Tract 5609; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,879","1,129",187,94,73,605,73,33,0,145,60,20,77
    Margin of Error,±151,±188,±81,±70,±87,±124,±38,±27,±17,±95,±51,±22,±84
Census Tract 5610; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,294","1,023",267,192,59,996,109,73,0,275,118,43,74
    Margin of Error,±295,±259,±168,±137,±86,±277,±72,±58,±17,±161,±106,±51,±120
Census Tract 5611; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,184","1,093",156,32,0,981,107,48,0,110,73,57,15
    Margin of Error,±290,±260,±92,±29,±17,±256,±83,±65,±17,±92,±86,±82,±12
Census Tract 5701; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,442,113,23,23,8,211,65,47,0,118,26,20,0
    Margin of Error,±84,±71,±21,±21,±13,±63,±46,±45,±12,±41,±26,±26,±12
Census Tract 5702; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,829,223,53,17,0,271,48,28,0,335,302,65,0
    Margin of Error,±326,±49,±26,±18,±12,±69,±32,±24,±12,±331,±330,±59,±12
Census Tract 5703; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,901",999,353,230,0,418,124,124,0,484,302,49,0
    Margin of Error,±256,±265,±126,±111,±17,±206,±163,±163,±17,±158,±155,±63,±17
Census Tract 5704; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,635,133,58,29,0,151,8,8,0,351,115,67,7
    Margin of Error,±131,±67,±48,±27,±12,±90,±14,±14,±12,±122,±61,±50,±11
Census Tract 5705; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,803,325,103,13,0,197,0,0,13,281,122,31,0
    Margin of Error,±125,±104,±58,±16,±12,±82,±12,±12,±23,±115,±52,±30,±12
Census Tract 5801; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,911,394,206,110,30,145,68,23,0,372,144,40,59
    Margin of Error,±141,±143,±131,±105,±48,±77,±58,±27,±12,±104,±81,±39,±65
Census Tract 5802; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,916,310,197,119,0,115,11,11,0,491,331,244,64
    Margin of Error,±180,±104,±90,±72,±12,±58,±14,±14,±12,±190,±203,±194,±70
Census Tract 5803; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,777,371,46,21,0,237,19,0,0,169,91,34,34
    Margin of Error,±146,±161,±34,±22,±12,±87,±21,±12,±12,±72,±59,±39,±39
Census Tract 5804; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,502",481,192,77,16,250,26,15,0,771,347,119,17
    Margin of Error,±205,±174,±110,±70,±24,±101,±30,±24,±12,±248,±124,±78,±27
Census Tract 5805.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,627",285,65,28,0,251,33,0,0,"1,091",523,218,80
    Margin of Error,±190,±113,±48,±32,±12,±129,±36,±12,±12,±190,±148,±121,±91
Census Tract 5805.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,454",359,200,83,0,356,43,13,0,739,258,159,45
    Margin of Error,±163,±154,±127,±88,±17,±124,±42,±21,±17,±190,±136,±114,±46
Census Tract 5806; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,675",721,227,138,0,424,46,24,7,530,200,63,0
