GEO_ID,ZCTA%5,NAME,Total,B25140_001M,Total Owned Units with a Mortgage,B25140_002M,Total Owned Units with a Mortgage (30-49%),B25140_003M,Total Owned Units with a Mortgage (50%+),B25140_004M,Total Owned Units with a Mortgage (Not Calculated),B25140_005M,Total Owned Units without a Mortgage,B25140_006M,Total Owned Units without a Mortgage (30-49%),B25140_007M,Total Owned Units without a Mortgage (50%+),B25140_008M,Total Owned Units without a Mortgage (Not Calculated),B25140_009M,Total Rented,B25140_010M,Total Rented (30-49%),B25140_011M,Total Rented (50%+),B25140_012M,Total Rented (Not Calculated),B25140_013M
860Z200US60463,60463,ZCTA5 60463,5226,258,2816,244,750,156,320,107,0,19,2096,273,467,115,262,98,21,23,314,123,82,53,62,46,109,55
860Z200US60464,60464,ZCTA5 60464,3947,248,1675,282,454,143,278,138,24,29,1799,266,375,151,215,104,0,17,473,194,279,138,216,132,35,43
860Z200US60465,60465,ZCTA5 60465,7327,523,3915,473,1098,346,319,154,0,19,1916,345,385,169,92,72,23,29,1496,379,592,222,284,166,123,91
860Z200US60466,60466,ZCTA5 60466,8301,481,2775,352,846,209,522,161,2,4,2609,485,423,161,291,138,4,16,2917,401,1106,269,726,235,265,179
860Z200US60467,60467,ZCTA5 60467,9646,496,5155,396,1775,310,782,262,19,32,3834,441,649,222,384,222,32,36,657,210,306,116,238,117,83,76
860Z200US60468,60468,ZCTA5 60468,2258,240,1097,143,193,90,123,82,6,13,603,174,106,63,56,55,0,17,558,137,275,105,23,23,11,17
860Z200US60469,60469,ZCTA5 60469,1619,311,673,250,190,151,92,69,0,17,482,182,12,21,0,17,32,52,464,229,214,167,120,113,0,17
860Z200US60470,60470,ZCTA5 60470,170,40,69,26,7,6,2,4,0,12,79,27,12,11,7,8,0,12,22,17,0,12,0,12,2,3
860Z200US60471,60471,ZCTA5 60471,5244,425,2125,313,522,174,176,99,53,62,449,143,82,61,43,49,0,19,2670,444,1303,384,692,356,72,65
860Z200US60472,60472,ZCTA5 60472,1555,199,346,171,180,139,145,128,0,12,665,181,230,160,140,104,0,12,544,210,198,115,180,116,65,68
860Z200US60473,60473,ZCTA5 60473,7575,456,4760,386,1521,296,645,146,55,58,1545,305,310,111,121,59,48,40,1270,291,828,281,648,246,111,72
860Z200US60474,60474,ZCTA5 60474,278,48,130,31,26,12,11,9,1,3,121,34,12,11,3,4,4,6,27,12,11,9,10,9,2,3
860Z200US60475,60475,ZCTA5 60475,4326,283,1735,267,597,218,251,159,0,19,961,219,136,74,98,66,10,17,1630,304,826,228,447,139,119,125
860Z200US60476,60476,ZCTA5 60476,790,153,415,110,115,70,86,69,5,8,227,67,27,29,16,27,4,7,148,67,85,55,49,48,9,14
860Z200US60477,60477,ZCTA5 60477,15442,501,8167,536,2046,366,703,229,57,65,4633,472,671,248,264,110,67,50,2642,433,1139,305,690,226,207,119
860Z200US60478,60478,ZCTA5 60478,5418,319,3188,406,1024,269,557,190,0,19,983,259,107,65,74,68,0,19,1247,308,625,178,447,167,151,123
860Z200US60479,60479,ZCTA5 60479,290,69,151,54,20,15,13,13,0,12,86,40,8,12,0,12,1,2,53,25,14,14,4,4,4,5
860Z200US60480,60480,ZCTA5 60480,2398,219,1346,165,393,114,171,71,10,15,702,168,151,70,82,64,0,17,350,122,179,106,64,44,28,39
